efficientroofing,"{""name"": """", ""companyName"": ""Efficient Roofing"", ""phoneNumber"": ""14806715769"", ""whatsappNumber"": ""14806715769"", ""email"": """", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJaxSbJzK3K4cR7wNVlEVnaQk""}"
holtzmanremodeling,"{""name"": """", ""companyName"": ""Holtzman Remodeling"", ""phoneNumber"": ""16023236574"", ""whatsappNumber"": ""16023236574"", ""email"": ""info@holtzmancr.com"", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJ9zruHtNvK4cRWB8zOuvkRp8""}"
arizonaroofers,"{""name"": """", ""companyName"": ""Arizona Roofers"", ""phoneNumber"": ""14806138932"", ""whatsappNumber"": ""14806138932"", ""email"": """", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJGYXZUaJ1K4cRmPjgN8uQAKg""}"
reimagineroofing,"{""name"": """", ""companyName"": ""Reimagine Roofing"", ""phoneNumber"": ""16025841339"", ""whatsappNumber"": ""16025841339"", ""email"": ""contact@reimagineroofing.com"", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJj_J14jYJK4cReKSamKzW3CM""}"
phoenixroofrepair,"{""name"": """", ""companyName"": ""Phoenix Roofing and Repair"", ""phoneNumber"": ""16024970154"", ""whatsappNumber"": ""16024970154"", ""email"": ""info@bestazroofers.com"", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJSWjBhm5tK4cRv-PStnnReE8""}"
stonecreekroofing,"{""name"": """", ""companyName"": ""Stonecreek Roofing"", ""phoneNumber"": ""16023243400"", ""whatsappNumber"": ""16023243400"", ""email"": ""info@stonecreekroofingaz.com"", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJ-T799G1zK4cRIQWf203y6KU""}"
brownroofing,"{""name"": """", ""companyName"": ""Brown Roofing LLC"", ""phoneNumber"": ""16026265559"", ""whatsappNumber"": ""16026265559"", ""email"": """", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJBQqYiXZyK4cRnuf6k_Y09QA""}"
phoenixroofersallstate,"{""name"": """", ""companyName"": ""Phoenix Roofers by Allstate Roofing Contractors"", ""phoneNumber"": ""16024847663"", ""whatsappNumber"": ""16024847663"", ""email"": ""info@allstateroofingaz.com, kathy@allstateroofingaz.com"", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJTwwUGmQTK4cRz6IMlf3M1U0""}"
lyonsroofing,"{""name"": """", ""companyName"": ""Lyons Roofing"", ""phoneNumber"": ""16027372515"", ""whatsappNumber"": ""16027372515"", ""email"": ""sales@lyonsroofing.com"", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJ3X_TdQdHcIYRa-aYJKZNRqE""}"
multiproroof,"{""name"": """", ""companyName"": ""Multi Pro Roof Solutions"", ""phoneNumber"": ""16028887663"", ""whatsappNumber"": ""16028887663"", ""email"": ""office@multiproroof.com"", ""serviceArea"": ""Phoenix, Arizona"", ""googleReviewLink"": ""https://search.google.com/local/writereview?placeid=ChIJ__8boqBtK4cRtTyfOq6dmVU""}"
